author_id,name,last,fore,initials,affiliations,is_industry_affiliated,industry_orgs,paper_count
95f875f0995c,"Stepka, W",Stepka,W,W,"Department of Research and Development, The American Tobacco Company, Richmond.",False,,1
2e9fba049705,"Dewey, L J",Dewey,L J,LJ,,False,,1
ab35a35cf793,"Christen, A G",Christen,A G,AG,"Department of Preventive and Community Dentistry, Indiana University School of Dentistry, Indianapolis 46202.; Department of Oral Biology, Indiana University School of Dentistry, Indianapolis 46202-5186, USA.",False,,4
176e01a8e2e6,"Kretzschmar, R M",Kretzschmar,R M,RM,,False,,1
241005a79bc7,"Brott, K",Brott,K,K,,False,,1
ea708150e487,"Glover, E D",Glover,E D,ED,,False,,1
aa832c84215a,"Henderson, A H",Henderson,A H,AH,,False,,1
ab6399509d4d,"Richmond, J B",Richmond,J B,JB,,False,,1
050f51b98329,"Rickert, W S",Rickert,W S,WS,,False,,2
7fca31d80bb3,"Robinson, J C",Robinson,J C,JC,,False,,1
7a98376cae0a,"Young, J C",Young,J C,JC,,False,,1
23e3781974f8,"Collishaw, N E",Collishaw,N E,NE,,False,,1
dc2e90a62719,"Bray, D F",Bray,D F,DF,,False,,1
a1872d7a164f,"Awotedu, A A",Awotedu,A A,AA,,False,,1
83d0e1b75e76,"Higenbottam, T W",Higenbottam,T W,TW,,False,,1
53014d16f44e,"Onadeko, B O",Onadeko,B O,BO,,False,,1
9fbfe877c38a,"Smith, D",Smith,D,D,,False,,1
495bc9bb15d8,Soon Kee Teoh,Soon Kee Teoh,,,,False,,1
7e465f1e06a6,"Masironi, R",Masironi,R,R,,False,,1
c1cf125c09ff,"Levine, D J",Levine,D J,DJ,,False,,1
1652da5b183f,"Johnson, R W",Johnson,R W,RW,,False,,1
f86e93d44b38,"Le Houezec, J",Le Houezec,J,J,,False,,1
756b51d5122d,"Molimard, R",Molimard,R,R,,False,,1
f69708863984,"Gray, N",Gray,N,N,"Division of Epidemiology and Biostatistics, European Institute of Oncology, Milan, Italy. nigel@uicc.ch",False,,10
