community_id,n_authors,n_tobacco_authors,n_coi_authors,n_independent_authors,pct_tobacco,pct_coi,total_papers,n_positive_outcomes,n_negative_outcomes,pct_positive
68,211,0,97,114,0.0,46.0,321,51,16,76.1
15,198,0,164,34,0.0,82.8,321,63,15,80.8
14,168,1,108,59,0.6,64.3,269,58,26,69.0
19,135,0,83,52,0.0,61.5,197,20,17,54.1
49,115,0,109,6,0.0,94.8,36,10,3,76.9
22,97,0,65,32,0.0,67.0,145,36,5,87.8
47,94,65,9,20,69.1,9.6,70,8,8,50.0
25,72,0,23,49,0.0,31.9,102,16,3,84.2
38,62,0,16,46,0.0,25.8,83,13,2,86.7
59,53,0,35,18,0.0,66.0,47,21,2,91.3
2,49,0,9,40,0.0,18.4,76,9,11,45.0
24,42,0,39,3,0.0,92.9,66,9,6,60.0
3,38,1,0,37,2.6,0.0,32,1,3,25.0
35,27,0,11,16,0.0,40.7,23,6,0,100.0
84,23,4,0,19,17.4,0.0,23,2,3,40.0
42,21,0,16,5,0.0,76.2,39,2,7,22.2
41,21,0,0,21,0.0,0.0,44,5,2,71.4
53,18,0,1,17,0.0,5.6,13,1,1,50.0
91,18,0,9,9,0.0,50.0,14,0,1,0.0
18,16,0,16,0,0.0,100.0,1,0,0,0.0
32,16,0,0,16,0.0,0.0,15,1,4,20.0
43,15,0,0,15,0.0,0.0,10,1,0,100.0
87,11,0,11,0,0.0,100.0,4,1,2,33.3
70,10,0,5,5,0.0,50.0,3,0,0,0.0
20,9,0,1,8,0.0,11.1,5,0,0,0.0
23,5,0,3,2,0.0,60.0,4,0,1,0.0
37,5,0,0,5,0.0,0.0,3,1,0,100.0
55,4,0,0,4,0.0,0.0,2,0,0,0.0
27,4,0,0,4,0.0,0.0,2,0,1,0.0
86,4,0,0,4,0.0,0.0,2,1,0,100.0
62,4,0,0,4,0.0,0.0,3,0,0,0.0
21,3,0,0,3,0.0,0.0,3,1,0,100.0
81,3,0,3,0,0.0,100.0,2,1,0,100.0
5,3,0,2,1,0.0,66.7,5,1,1,50.0
66,3,0,0,3,0.0,0.0,2,0,0,0.0
76,3,0,0,3,0.0,0.0,3,0,0,0.0
73,2,1,0,1,50.0,0.0,4,0,0,0.0
79,2,0,0,2,0.0,0.0,2,0,1,0.0
54,2,0,0,2,0.0,0.0,4,0,1,0.0
67,2,0,0,2,0.0,0.0,2,1,0,100.0
82,2,0,0,2,0.0,0.0,2,0,0,0.0
51,2,0,0,2,0.0,0.0,2,0,1,0.0
85,2,0,0,2,0.0,0.0,3,1,0,100.0
90,2,0,0,2,0.0,0.0,2,0,0,0.0
89,2,0,2,0,0.0,100.0,2,2,0,100.0
46,2,0,0,2,0.0,0.0,2,1,0,100.0
17,2,0,0,2,0.0,0.0,2,1,0,100.0
30,2,0,0,2,0.0,0.0,2,0,0,0.0
39,2,0,0,2,0.0,0.0,2,0,0,0.0
36,2,0,0,2,0.0,0.0,2,0,0,0.0
34,2,0,0,2,0.0,0.0,3,0,0,0.0
1,1,0,0,1,0.0,0.0,2,0,0,0.0
12,1,0,0,1,0.0,0.0,2,0,0,0.0
74,1,0,0,1,0.0,0.0,2,0,0,0.0
75,1,0,0,1,0.0,0.0,2,0,0,0.0
16,1,0,0,1,0.0,0.0,2,0,0,0.0
77,1,0,0,1,0.0,0.0,2,0,0,0.0
78,1,0,0,1,0.0,0.0,2,0,0,0.0
13,1,0,0,1,0.0,0.0,2,0,1,0.0
80,1,0,0,1,0.0,0.0,2,0,0,0.0
83,1,0,0,1,0.0,0.0,2,0,0,0.0
11,1,0,0,1,0.0,0.0,2,1,1,50.0
71,1,0,0,1,0.0,0.0,2,1,0,100.0
10,1,0,0,1,0.0,0.0,2,0,0,0.0
9,1,0,0,1,0.0,0.0,2,1,0,100.0
8,1,0,0,1,0.0,0.0,2,0,0,0.0
7,1,0,0,1,0.0,0.0,2,0,0,0.0
88,1,0,1,0,0.0,100.0,4,0,0,0.0
6,1,0,0,1,0.0,0.0,2,0,1,0.0
4,1,0,0,1,0.0,0.0,2,0,1,0.0
72,1,0,1,0,0.0,100.0,2,0,0,0.0
69,1,0,0,1,0.0,0.0,4,0,0,0.0
26,1,0,0,1,0.0,0.0,2,0,0,0.0
45,1,0,0,1,0.0,0.0,2,1,0,100.0
48,1,0,0,1,0.0,0.0,2,1,1,50.0
44,1,0,1,0,0.0,100.0,2,0,0,0.0
50,1,0,0,1,0.0,0.0,2,0,1,0.0
40,1,0,0,1,0.0,0.0,2,1,0,100.0
52,1,0,0,1,0.0,0.0,3,2,0,100.0
56,1,0,0,1,0.0,0.0,2,0,1,0.0
57,1,0,0,1,0.0,0.0,4,0,0,0.0
58,1,0,0,1,0.0,0.0,2,0,0,0.0
33,1,0,0,1,0.0,0.0,2,0,1,0.0
60,1,0,0,1,0.0,0.0,3,0,0,0.0
61,1,0,0,1,0.0,0.0,2,0,0,0.0
31,1,0,0,1,0.0,0.0,2,0,0,0.0
63,1,0,0,1,0.0,0.0,3,0,0,0.0
64,1,1,0,0,100.0,0.0,2,0,0,0.0
65,1,0,0,1,0.0,0.0,2,0,0,0.0
29,1,0,0,1,0.0,0.0,13,0,0,0.0
28,1,0,0,1,0.0,0.0,2,0,1,0.0
0,1,0,0,1,0.0,0.0,4,0,1,0.0
