author_id,name,is_industry,paper_count,pct_positive,degree,weighted_degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality
d6f0dd02b7c4,"Benowitz, Neal L",False,98,20.4,186,534,0.112727,0.112035,0.351385,0.025082
1fbc5be8ef66,"Tarran, Robert",False,3,0.0,27,31,0.016364,0.078443,0.279815,0.001098
5bc7a54d311c,"Eissenberg, Thomas",False,56,16.1,124,270,0.075152,0.072182,0.302674,0.001361
a9305ac64764,"Goniewicz, Maciej L",False,26,19.2,131,307,0.079394,0.057874,0.335433,0.165968
aa2f298a6a3d,"Cummings, K M",False,7,28.6,16,18,0.009697,0.050271,0.254397,0.006378
fea1c538687d,"Cummings, K Michael",False,85,29.4,194,713,0.117576,0.037821,0.339262,0.414833
1d8cde753271,"Unger, Jennifer B",False,25,20.0,64,108,0.038788,0.037231,0.305431,0.002316
b4d94121faee,"Gartner, Coral E",False,10,20.0,40,56,0.024242,0.032281,0.279456,0.036418
cc4350ac6f68,"Andrews, Judy A",False,2,0.0,78,78,0.047273,0.027382,0.279576,0.000281
2bb8b3246ceb,"Hatsukami, Dorothy K",False,41,14.6,106,252,0.064242,0.027235,0.330183,0.041202
392844ad9d1b,"O'Connor, Richard J",False,35,17.1,87,244,0.052727,0.026744,0.317441,0.190746
98ebc589204d,"Henningfield, Jack E",False,14,14.3,24,39,0.014545,0.026538,0.283208,0.00291
56b5ce2de5e4,"Hoeng, Julia",True,8,25.0,27,63,0.016364,0.025665,0.216927,6e-06
d6fd2d978147,"Ling, Pamela M",False,32,28.1,46,71,0.027879,0.025217,0.303025,0.00445
1e8528411f6c,"Cinciripini, Paul M",False,8,37.5,104,129,0.06303,0.021125,0.292389,0.001614
d26aa4f03eb9,"Ashley, David L",False,7,0.0,35,38,0.021212,0.020322,0.29724,0.005566
cb639c62f66e,"Liu, Fei",False,3,0.0,14,14,0.008485,0.020107,0.249115,4.6e-05
d6d942bc9df2,"Tyndale, Rachel F",False,33,42.4,78,221,0.047273,0.019556,0.299761,0.006987
a264debeffc0,"Borland, Ron",False,44,27.3,95,336,0.057576,0.019388,0.303236,0.278319
3b58c7e5dee3,"Levy, David T",False,25,24.0,73,176,0.044242,0.019334,0.30128,0.114583
68f2ab6d71d1,"Soneji, Samir",False,4,25.0,43,47,0.026061,0.01883,0.310876,0.015996
ddb1a6473045,"Fong, Geoffrey T",False,61,34.4,139,565,0.084242,0.018645,0.322847,0.402662
e263419c91b2,"Hyland, Andrew",False,37,27.0,121,392,0.073333,0.016993,0.314994,0.257354
9e164c965766,"Lerman, Caryn",False,25,48.0,70,188,0.042424,0.0168,0.297443,0.004301
d20031efc4bc,"Toll, Benjamin A",False,25,48.0,62,160,0.037576,0.01674,0.298121,0.021913
8ccdbe5d5ad9,"Abrams, David B",False,11,36.4,74,146,0.044848,0.015579,0.30536,0.069912
dfbe18aa9188,"Simms, Liam",True,5,0.0,26,38,0.015758,0.015224,0.216461,7e-06
033e21a60c63,"Krishnan-Sarin, Suchitra",False,6,33.3,29,34,0.017576,0.014512,0.300656,0.002826
b8036323c736,"Bansal-Travers, Maansi",False,23,30.4,109,272,0.066061,0.014414,0.318523,0.165881
23f670f3463c,"Shang, Ce",False,14,21.4,47,81,0.028485,0.014399,0.294695,0.048556
fdccf785ef48,"Kaprio, Jaakko",False,4,25.0,91,155,0.055152,0.014325,0.279218,0.000506
d22b8b05e87c,"Hammond, David",False,37,13.5,74,242,0.044848,0.014087,0.302814,0.194082
90db980046b6,"Dick, Danielle M",False,3,0.0,82,84,0.049697,0.014045,0.273667,0.000267
2110baaa0905,"Aveyard, Paul",False,6,83.3,83,85,0.050303,0.01372,0.255341,0.000233
