paper_id,title,year,industry_category,outcome_keyword,outcome_enhanced,pos_matches,neg_matches,neu_matches
16655912,Test of the Intermediary Role of Nicotine-1'-Oxide in Conversion of Nicotine to Nornicotine.,1964,Independent,Not coded,Not applicable,,,
6932432,The case against smokeless tobacco: five facts for the health professional to consider.,1980,Independent,Not coded,Not applicable,,,
7366892,Smoking and health: the role of the obstetrician and gynecologist.,1980,Independent,Not coded,Not applicable,,,
6951348,Tobacco smoking in Papua New Guinea.,1981,Independent,Not coded,Not applicable,,,
6911364,Just a pinch between the cheek & gum.,1981,Independent,Not coded,Not applicable,,,
7147931,Smoking and health in Asia.,1982,Independent,Not coded,Not applicable,,,
6582366,Ending the cigarette pandemic.,1983,Independent,Not coded,Not applicable,,,
6657634,"A comparison of the yields of tar, nicotine, and carbon monoxide of 36 brands of Canadian cigarettes tested under three conditions.",1983,Independent,Not coded,Mixed,switching to low-yield cigarettes may not result in reduced,toxic; manipulated,
6619721,"Tar, nicotine, and carbon monoxide yields of some Nigerian cigarettes.",1983,Independent,Not coded,Not applicable,,,
6585103,An anti-smoking movement for Papua New Guinea.,1983,Independent,Not coded,Not applicable,,,
12179603,Smoking in Malaysia: promotion and control.,1984,Independent,Not coded,Not applicable,,,
12179599,Smoking control strategies in developing countries: report of a WHO Expert Committee.,1984,Independent,Not coded,Not applicable,,,
4072809,Psychiatric aspects of cigarette smoking.,1985,Independent,Mixed,Mixed,quitting; effective ,addiction; relapse,
2947182,[Role of nicotine in the induction and maintenance of tobacco dependence].,1986,Independent,Mixed,Mixed,less hazardous,dependence; hazardous,
12314496,Worldwide effort against smoking.,1986,Independent,Not coded,Not applicable,,,
3523214,Health implications of smokeless tobacco use.,1986,Independent,Not coded,Not applicable,,,
3568015,Low-tar cigarettes: bane or benefit.,1987,Independent,Negative,Mixed,effective ,toxic; dangerous,
3135084,Nicotine and smokeless tobacco.,1988,Independent,Negative,Positive,quit ; effective ,,
3357466,Cigarette smoking in pregnancy.,1988,Independent,Not coded,Not applicable,,,
3237761,Absorption of nicotine from a cigarette that does not burn tobacco.,1988,Independent,Not coded,Not applicable,,,
2739680,Human urine mutagenicity study comparing cigarettes which burn or only heat tobacco.,1989,Independent,Not coded,Negative,,mutagenic,
7580225,Implications of a nicotine-free society.,1989,Independent,Not coded,Not applicable,,,
2246349,A new quantitative thermospray LC-MS method for nicotine and its metabolites in biological fluids.,1990,Independent,Not coded,Not applicable,,,
2242716,The use of flavor in cigarette substitutes.,1990,Independent,Positive,Mixed,quit,craving,
2272562,Comparative studies of the mutagenicity of urine from smokers and non-smokers on a controlled non-mutagenic diet.,1990,Independent,Not coded,Negative,,mutagenicity,
2401755,Chemical and biological studies of a cigarette that heats rather than burns tobacco.,1990,Independent,Not coded,Not applicable,,,
2332922,Who profits from tobacco sales to children?,1990,Independent,Negative,Negative,,addiction; nicotine addiction,
2188242,The smokeless tobacco 'time bomb'.,1990,Independent,Not coded,Not applicable,,,
1765327,Dietary nicotine: a source of urinary cotinine.,1991,Independent,Not coded,Negative,,environmental tobacco smoke,
1793797,The nitrosation of nicotine: a kinetic study.,1991,Independent,Not coded,Not applicable,,,
2055775,Tobacco truths: the impact of role models on children's attitudes toward smoking.,1991,Independent,Negative,Negative,,addiction; nicotine addiction,
2050132,Correlations between urinary nicotine or cotinine and urinary mutagenicity in smokers on controlled diets.,1991,Independent,Not coded,Negative,,mutagenicity,
1536348,Snuffing tobacco out of sport.,1992,Independent,Mixed,Not applicable,,,
1352209,"Evidence for urinary excretion of glucuronide conjugates of nicotine, cotinine, and trans-3'-hydroxycotinine in smokers.",1992,Independent,Not coded,Not applicable,,,
1616810,"Tobacco litigation--purpose, performance, and prospects.",1992,Independent,Negative,Mixed,favorable,addiction; industry propaganda; nicotine addiction,
1410161,"Psychopharmacological effects of smoking a cigarette with typical ""tar"" and carbon monoxide yields but minimal nicotine.",1992,Independent,Neutral,Neutral,,,no significant
1410152,The role of nicotine in tobacco use.,1992,Independent,Negative,Negative,,addiction; addictive; nicotine addiction,
8512249,Intragastric nitrosation of nicotine is not a significant contributor to nitrosamine exposure.,1993,Independent,Not coded,Not applicable,,,
8378153,Smokeless tobacco use by youth: a health concern.,1993,Independent,Positive,Not applicable,,,
7862835,Flexible effects of quantified cigarette-smoke delivery on EEG dimensional complexity.,1993,Independent,Not coded,Not applicable,,,
7712512,Nicotine-related brain disorders: the neurobiological basis of nicotine dependence.,1994,Independent,Negative,Negative,,dependence,
7953899,[Prevention of nicotine addiction in the school environment].,1994,Independent,Not coded,Not applicable,,,
8032982,[Urinary nicotine and intervention test for absorption of nicotine in female workers in tobacco industry].,1994,Independent,Not coded,Not applicable,,,
7701846,[Do light cigarettes decrease the risk of smoking?].,1994,Independent,Negative,Negative,,cancer; lung cancer,
9415179,Delivery devices and protecting the next generation from nicotine.,1995,Independent,Not coded,Not applicable,,,
8848540,Comparison of measured and FTC-predicted nicotine uptake in smokers.,1995,Independent,Not coded,Not applicable,,,
7562868,The role of nicotine in tobacco smoking: implications for tobacco control policy.,1995,Independent,Positive,Mixed,quit ; quitting; stop smoking; helps,withdrawal,
7609234,Environmental tobacco smoke. The Brown and Williamson documents.,1995,Independent,Not coded,Negative,,dangerous; passive smoking,
7609233,Lawyer control of the tobacco industry's external research program. The Brown and Williamson documents.,1995,Independent,Not coded,Negative,,health danger,
7609232,Lawyer control of internal scientific research to protect against products liability lawsuits. The Brown and Williamson documents.,1995,Independent,Not coded,Not applicable,,,
7609231,Nicotine and addiction. The Brown and Williamson documents.,1995,Independent,Not coded,Not applicable,,,
7609230,Looking through a keyhole at the tobacco industry. The Brown and Williamson documents.,1995,Independent,Not coded,Negative,,carcinogenic; addiction; addictive,
7675972,No effect of cigarette smoking on electroencephalographic nonlinearity.,1995,Independent,Not coded,Not applicable,,,
8526298,"[Pulmonary carcinoma nowadays: notes on epidemiology, primary prevention, and therapeutic planning].",1995,Independent,Not coded,Mixed,improve,tumors,
7749956,Pharmacists' role in a smoking-cessation program at a health maintenance organization.,1995,Independent,Positive,Positive,cessation; benefit,,
7878164,"Caffeine and smoking: subjective, performance, and psychophysiological effects.",1995,Independent,Not coded,Not applicable,,,
7873017,Smokers: why do they start--and continue?,1995,Independent,Mixed,Mixed,quitting,addiction,
8956690,The global cigarette.,1996,Independent,Not coded,Not applicable,,,
8816936,Human urine mutagenicity study comparing cigarettes which burn or primarily heat tobacco.,1996,Independent,Not coded,Negative,,mutagenic,
8880944,Assessing the sensory role of nicotine in cigarette smoking.,1996,Independent,Not coded,Not applicable,,,
8656267,Tobacco control: reducing cancer incidence and saving lives. American Society of Clinical Oncology.,1996,Independent,Mixed,Not applicable,,,
8867418,Smokeless tobacco usage: a growing and menacing addiction among Hoosier children and young adults.,1996,Independent,Negative,Negative,,addiction,
9121623,"Psychophysiological and subjective effects of cigarettes having varying nicotine yields but relatively constant ""tar' yields.",1996,Independent,Not coded,Not applicable,,,
8788361,Nicotine addiction among American youth.,1996,Independent,Not coded,Positive,effectiveness,,
8746306,Tobacco industry tactics.,1996,Independent,Not coded,Not applicable,,,
9524434,Systemic absorption and effects of nicotine from smokeless tobacco.,1997,Independent,Negative,Negative,,cancer; mutagenic,
9524433,Smokeless tobacco: an addicting drug.,1997,Independent,Negative,Not applicable,,,
9524431,Epidemiology of cancer and other systemic effects associated with the use of smokeless tobacco.,1997,Independent,Negative,Negative,,cancer; malignant; oral cancer,
9519485,Research into smoking or nicotine and human cognitive performance: does the source of funding make a difference?,1997,Independent,Positive,Positive,improved,,
9396107,Review of the evidence that pH is a determinant of nicotine dosage from oral use of smokeless tobacco.,1997,Independent,Not coded,Negative,,manipulating,
9327493,Behavioral research contributions and needs in cancer prevention and control: tobacco use prevention and cessation.,1997,Independent,Not coded,Mixed,cessation; effectiveness,youth tobacco,
9315768,The emerging market for long-term nicotine maintenance.,1997,Independent,Not coded,Mixed,less hazardous; encouraging,dangerous; hazardous,
9310210,"Impact of promotion of the Great American Smokeout and availability of over-the-counter nicotine medications, 1996.",1997,Independent,Positive,Positive,cessation,,
9376778,Why have attitudes to industry funding of research changed?,1997,Independent,Not coded,Not applicable,,,
9271136,Capillary electrophoresis as an analytical tool for monitoring nicotine in ATF regulated tobacco products.,1997,Independent,Not coded,Not applicable,,,
9217707,Tobacco: promises are not enough.,1997,Independent,Not coded,Not applicable,,,
9269256,Antidepressant effects of nicotine.,1997,Independent,Not coded,Not applicable,,,
9245662,Nicotine regulates smoking patterns.,1997,Independent,Negative,Negative,,toxic; carcinogens; genotoxic,
9245661,The changing cigarette.,1997,Independent,Negative,Negative,,cancer; dependence,
9240112,State legislators' attitudes and voting intentions toward tobacco control legislation.,1997,Independent,Not coded,Negative,,addictive,
9176975,What should be the elements of any settlement with the tobacco industry?,1997,Independent,Not coded,Mixed,cessation,addictive,
9137965,Tobacco control: a brief review of its history and prospects for the future.,1997,Independent,Not coded,Negative,,addiction; nicotine addiction; environmental tobacco smoke,
9108846,Nicotine addiction: a pediatric disease.,1997,Independent,Not coded,Not applicable,,,
9010174,"FDA regulation of tobacco advertising and youth smoking. Historical, social, and constitutional perspectives.",1997,Independent,Negative,Negative,,harmful; health risk; misleading,
9010173,The legal and scientific basis for FDA's assertion of jurisdiction over cigarettes and smokeless tobacco.,1997,Independent,Negative,Negative,,addiction; addictive,
10169255,A successful tobacco cessation program led by primary care nurses in a managed care setting.,1997,Independent,Positive,Positive,cessation; quit ; successfully,,
10342980,Tobacco product regulation: context and issues.,1998,Independent,Not coded,Not applicable,,,
